id,name,api_football_id,fd_name,rating_mu,rating_sigma
789,Vejle,395,Vejle,1519.7453967441504,3.239303002919302
790,Hvidovre IF,2072,Hvidovre IF,1514.3262907104845,6.085201568081763
791,Fredericia,,Fredericia,1517.1017787224316,31.510407755075946
795,Henan Songshan Longmen,840,Henan Songshan Longmen,1506.3040984828317,2.0420387501766557
796,Beijing Guoan,830,Beijing Guoan,1502.4127599925125,2.1177230914487803
805,Shanghai Shenhua,833,Shanghai Shenhua,1510.5059771410138,2.2562821209484043
806,Tianjin Jinmen Tiger,837,Tianjin Jinmen Tiger,1498.6056683404067,2.077253477344523
820,Shandong Taishan,844,Shandong Taishan,1507.5500410172879,2.109293603260813
824,Shanghai Port,836,Shanghai Port,1507.7733292370378,2.2688217042220566
825,Chengdu Rongcheng,5648,Chengdu Rongcheng,1511.2020409830543,2.225840728432596
826,Zhejiang Professional,848,Zhejiang Professional,1506.1327595389282,2.0528055134496643
827,Wuhan Three Towns,5695,Wuhan Three Towns,1492.9330879603128,2.115328690452908
830,Qingdao Hainiu,1431,Qingdao Hainiu,1496.4701643458568,2.2104203289163085
831,Qingdao West Coast,,Qingdao West Coast,1498.904144449482,2.302951296427582
832,Shenzhen Xinpengcheng,,Shenzhen Xinpengcheng,1494.9839042696892,2.400834210114092
834,Dalian Yingbo,,Dalian Yingbo,1491.6247129945434,3.02887504383467
836,U. Cluj,2599,U. Cluj,1569.468526910427,2.760400485651134
838,Din. Bucuresti,635,Din. Bucuresti,1562.7320976386893,2.731230247957879
839,Petrolul,2598,Petrolul,1557.7928416790871,2.835398251806378
841,CFR Cluj,2246,CFR Cluj,1566.1977192907536,2.655154891591261
845,Poli Iasi,2583,Poli Iasi,1555.5248183124072,3.5754880718287043
846,Otelul,6886,Otelul,1558.3538565782933,3.017052939720533
847,FC Rapid Bucuresti,6231,FC Rapid Bucuresti,1565.2506473072938,2.7397691551699843
851,FCSB,559,FCSB,1562.0004983625818,2.6043385596175974
855,FC Botosani,2581,FC Botosani,1557.7284296395158,2.707095623343135
859,FC Voluntari,2578,FC Voluntari,1561.6857051172515,3.8003311722739697
861,UTA Arad,2589,UTA Arad,1560.4025339787756,2.7044389701056093
863,Sepsi Sf. Gheorghe,2585,Sepsi Sf. Gheorghe,1562.251966621938,3.198216881999146
865,FC Hermannstadt,2579,FC Hermannstadt,1557.2301154897511,2.7370091782152093
868,FC Arges,,FC Arges,1562.7572733353581,3.597134247523135
869,Univ. Craiova,632,Univ. Craiova,1564.9903439529799,2.6314125740081735
871,Farul Constanta,2596,Farul Constanta,1561.7635813673446,2.723407496150732
873,Csikszereda M. Ciuc,6230,Csikszereda M. Ciuc,1559.731245184116,6.003222704330737
875,Metaloglobus Bucharest,,Metaloglobus Bucharest,1381.5587566139943,86.03168210984488
899,Drogheda,3850,Drogheda,1544.570681494416,2.023975861011168
900,Shamrock Rovers,652,Shamrock Rovers,1550.2531994924832,2.078829394759421
901,Derry City,670,Derry City,1548.8624212354443,2.036795987814157
902,Bohemians,3840,Bohemians,1549.9009816932746,1.993469202113772
903,St. Patricks,3843,St. Patricks,1550.9595928379633,2.048494513681479
905,UC Dublin,3844,UC Dublin,1529.2577401201015,2.9724234043457622
906,Cork City,653,Cork City,1538.6420440628951,2.468808056961056
908,Dundalk,584,Dundalk,1542.3096973741904,2.337365201137552
909,Shelbourne,3854,Shelbourne,1549.671151677884,2.034090081582532
910,Sligo Rovers,3842,Sligo Rovers,1541.7683990452813,2.021402416562691
912,Waterford,3845,Waterford,1538.2962263792658,2.1137775375169925
916,Galway,,Galway,1542.3456077221804,2.1361704146991936
918,Wexford,3855,Wexford,1525.2824380052048,3.884473679089211
919,Cobh Ramblers,3849,Cobh Ramblers,1525.222616096052,4.125521717139147
921,Treaty United,16498,Treaty United,1524.1838668673877,3.8961015409195063
927,Al Khaleej Saihat,2928,,1541.323770122697,4.816436949950222
928,Al-Fateh,2931,,1541.5155056093834,4.6896831113117585
933,Al-Hilal Saudi FC,2932,,1572.1700369357409,6.019692479939786
937,Al-Nassr,2939,,1569.3745258309887,6.004527188369268
938,Al Shabab,2940,,1544.5570957421808,4.625227701936946
939,Al Okhdood,2977,,1522.12132847549,6.137178267851858
940,Vila Nova,142,,1505.7696811361823,2.8111972589442087
942,Ponte Preta,139,Ponte Preta,1499.99376836518,3.423098858148097
943,Botafogo SP,2618,,1506.2519717911268,3.0370579080227826
944,Novorizontino,7834,,1510.493650015293,2.9793278125982523
945,CRB,146,,1508.4443987727689,2.750047952721556
947,Chapecoense-sc,132,,1510.9159606725468,2.6554952282531574
950,Mirassol,7848,Mirassol,1518.5845840515788,2.146665154858945
951,Operario-PR,1223,,1508.3746538185378,2.9329233747127836
952,Avai,145,Avai,1510.6314070200635,2.6099726764797477
954,Sport Recife,123,Sport Recife,1502.6115472564309,2.2121851715451295
955,Ceara,129,Ceara,1511.776393247103,1.9964880798036644
956,Criciuma,140,Criciuma,1511.226657198523,2.2884945692634244
958,Vitoria,136,Vitoria,1515.3287424348878,1.8776810704196483
960,Atletico Goianiense,144,,1509.2469457357415,2.6872788956126317
961,Juventude,152,Juventude,1510.0507302439573,1.9259285586942758
962,Londrina,148,,1501.9312462505427,4.617297701480265
964,Nautico Recife,755,,1491.4449733252527,6.311461234173274
967,remo,1198,,1514.999160046477,3.779304077864549
972,Deportivo Riestra,476,,1513.1729326031787,3.6512770151768548
973,Independ. Rivadavia,473,,1517.8944216700218,3.731168324365958
975,Aldosivi,463,Aldosivi,1509.4371866675922,3.1753048105461565
976,Deportes Tolima,1142,,1525.5337824424819,2.335244823964333
977,Fortaleza FC,1147,,1518.1850392402982,2.7586068305629814
978,Once Caldas,1136,,1523.3990814473786,2.3745585740809734
979,Chico,1132,,1513.5079647030875,2.7849455675742276
981,Santa Fe,1139,,1523.338991569414,2.34320060371624
982,Deportivo Pereira,1462,,1514.6002461645132,2.4967930918772696
983,Deportivo Cali,1127,,1519.114514776281,2.5197821810991514
985,Bucaramanga,1131,,1523.667465194368,2.385239319434641
986,Millonarios,1125,,1525.3902614485114,2.3830765541052448
987,Independiente Medellin,1128,,1524.448020768006,2.3724312929912235
988,America de Cali,1138,,1524.8310549290386,2.3077437777235437
989,Rionegro Aguilas,1144,,1520.9226591180584,2.506287068530303
990,Patriotas,1140,,1506.4937214624063,3.4070579178264357
991,Jaguares,1133,,1513.6129823806398,2.9014751592853303
993,Envigado,1129,,1514.347356087418,2.801661587166093
995,Alianza Valledupar,1141,,1518.8095622390026,2.528143109202205
996,Union Magdalena,1465,,1515.0950400747045,3.1080280092272807
999,Quindio,1461,,1506.9306610801948,5.245637139744709
1000,Cucuta,1470,,1513.1881294110115,3.627656110094061
1001,LDU de Quito,1158,,1519.408746069854,2.913623645071207
1002,Macara,1155,,1516.9938166088414,3.4816483480485
1003,Universidad Catolica,1157,,1515.1076929131602,2.989057728278121
1005,Tecnico Universitario,1151,,1504.049263907855,3.483978308099093
1007,Deportivo Cuenca,1154,,1511.3339445034956,3.164363823313146
1008,Emelec,1148,,1508.2019933326287,3.1276534158161815
1009,Mushuc Runa SC,1162,,1507.6917303764856,3.2831867790085396
1010,Libertad,18762,,1510.7026628879535,3.544748242269478
1011,Aucas,1156,,1508.2335777495684,3.1455964843406456
1012,Orense SC,1992,,1509.4675527963034,3.1882061683652556
1013,Barcelona SC,1152,,1514.6424482700638,2.835690838799742
1015,Delfin SC,1149,,1503.047323254691,3.197458130335695
1016,Independiente del Valle,1153,,1517.95318185182,2.949223540946437
1018,Guayaquil City FC,1159,,1498.7345605524104,7.124045331839147
1021,Manta FC,1980,,1503.315531165369,5.863326675919279
1023,Cerro Porteno,1176,,1515.9808652483662,3.995898418920112
1025,Sportivo Luqueno,1183,,1496.2936157601932,4.986236288833337
1026,2 de Mayo,2140,,1500.012106163383,7.466224329530243
1028,Libertad Asuncion,1179,,1512.4061692447524,4.030971816230735
1029,Olimpia,1182,,1517.6266487900323,4.408911639438284
1033,Sportivo Ameliano,10487,,1509.8510458134401,5.220346768645495
1034,Nacional Asuncion,1175,,1507.8753150286077,4.93087021028388
1039,Club Sp. San Lorenzo,2125,,1247.8665800313252,109.68663583077719
1042,Danubio,2352,,1500.3374365537366,6.187748748152628
1043,Deportivo Maldonado,2370,,1503.6934778550071,9.609544718575524
1044,Boston River,2361,,1496.5630791081294,5.605438079441418
1045,Club Nacional,2356,,1517.3183687156254,4.963372608013115
1048,Liverpool Montevideo,2358,,1505.3488424722461,5.867203890508043
1049,Cerro,2362,,1486.9715666776785,6.89425117966561
1050,Wanderers,2360,,1501.3983184979083,6.38992653257927
984,Junior,1135,,1525.610014155779,2.300481693332466
1052,Progreso,2363,,1487.8552168145786,9.257607650336475
